url,table_id,field,value
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,top speed,340 km/h
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 40 km/h,1.1 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 50 km/h,1.2 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 100 km/h,2.8 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 150 km/h,5.2 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 160 km/h,5.5 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 200 km/h,8.1 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 250 km/h,13.0 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 300 km/h,22.1 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 60 mph,2.7 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,0 – 100 mph,5.8 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,1/8 mile (est.),6.9 s @ 111.2 mph
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,1/4 mile,10.3 s @ 139.2 mph
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,1/2 mile (est.),16.4 s @ 164.0 mph
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,1000 m,18.7 s @ 281.2 km/h
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,100 – 200 km/h,5.5 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,200 – 300 km/h,13.8 s
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,100 – 0 km/h,29 m (96 ft)
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,200 – 0 km/h,115 m (376 ft)
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,300 – 0 km/h,243 m (796 ft)
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,18 m slalom,76.5 km/h
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,3,nürburgring lap time,6:47.30 (Driver: Lars Kern)
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,make,Porsche
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,model,911 Turbo
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,generation,2018 – Present
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,sub-model,Exclusive Series
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,car type,Coupe
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,category,Series Production Car
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,built at,"Stuttgart, Germany"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,introduced,2018
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,1,base price (us),"$257,500"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,curb weight,"3,528 lbs"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,layout,Rear-engine
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,driven wheels,All-wheel drive
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,suspension,"MacPherson strut suspension with anti-roll bar (front), LSA multi-link suspension with anti-roll bar (rear)"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,brakes,"410mm brake rotors with 6-piston calipers (front), 390mm brake rotors with 4-piston calipers (rear)"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,engine,Flat 6 Boxer
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,aspiration,Twin-turbocharged
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,valves,2 Intake / 2 Exhaust
